Name,ScripCode,
EVEREADY,11782,
ALLSEC,11798,
SUKHJITS,11804,
IIFL,11809,
SHOPERSTOP,11813,
MANGALAM,11817,
WELCORP,11821,
SSWL,11829,
NH,11840,
SURYALAXMI,11852,
JKPAPER,11860,
PRIMESECU,11864,
GRANULES,11872,
JSWHL,11880,
MANINDS,11884,
VHL,11892,
DCXINDIA,11895,
GEOJITFSL,11896,
GENUSPOWER,11905,
SWELECTES,11909,
YESBANK,11915,
NECLIFE,11927,
FUSION,11932,
SPLIL,11935,
MEDANTA,11956,
IDFC,11957,
BIKAJI,11966,
GOLDIAM,11971,
RML,11975,
HTMEDIA,11979,
SASKEN,11983,
ICIL,11987,
SYNCOMF,11992,
FCSSOFT,11999,
FAZE3Q,12000,
IMPAL,12009,
SATINDLTD,12015,
ACI,12024,
RENUKA,12026,
FIVESTAR,12032,
BASML,12034,
SCPL,12072,
KAYNES,12092,
HDFCNIFIT,12101,
HDFCPVTBAN,12108,
DOLATALGO,12124,
BBTCL,12153,
HNDFDS,12173,
INOXGREEN,12188,
RUSTOMJEE,12219,
OCCL,12231,
ZIMLAB,12384,
SWSOLAR,12489,
AAATECH,12533,
PRECAM,12603,
OSIAHYPER,12635,
MBAPL,12686,
TEAMLEASE,12716,
DJML,12749,
KRISHANA,12847,
NPBET,12978,
DHARMAJ,13001,
SAFARI,13035,
UNIPARTS,13057,
360ONE,13061,
IIFLSEC,13072,
TRIVENI,13081,
KOTAKSILVE,13082,
AIAENG,13086,
EKC,13091,
VIMTALABS,13101,
NAHARINDUS,13106,
ORIENTCER,13111,
QUICKHEAL,13116,
REPRO,13126,
EBBETF0433,13139,
PVRINOX,13147,
NITINSPIN,13175,
ROHLTD,13182,
ENIL,13192,
GSPL,13197,
JAGRAN,13211,
SULA,13218,
KEC,13260,
JKCEMENT,13270,
LANDMARK,13276,
M&MFIN,13285,
AHL,13288,
BLKASHYAP,13290,
CENTURYPLY,13305,
KEI,13310,
SOLARINDS,13332,
GALLANTT,13337,
VAKRANGEE,13342,
MALUPAPER,13352,
KFINTECH,13359,
UTTAMSUGAR,13376,
KKCL,13381,
BHAGERIA,13400,
SUNTV,13404,
GPIL,13409,
RSYSTEMS,13414,
ELIN,13423,
KELLTONTEC,13430,
LOKESHMACH,13436,
BALPHARMA,13441,
RATNAMANI,13451,
KAMDHENU,13457,
JKLAKSHMI,13491,
PFOCUS,13496,
ALLCARGO,13501,
AKASH,13510,
MUNJALAU,13511,
EMAMILTD,13517,
GMRINFRA,13528,
VIDHIING,13536,
TECHM,13538,
AVONMORE,13557,
GRINDWELL,13560,
RAMANEWS,13565,
VOLTAMP,13577,
RADIANTCMS,13580,
ACE,13587,
SELAN,13598,
IRCTC,13611,
ANANTRAJ,13620,
SKYGOLD,13631,
JMFINANCIL,13637,
ELECON,13643,
DSPBANKETF,13644,
ALICON,13656,
GEECEE,13658,
NRL,13675,
ACLGATI,13688,
SAH,13689,
VISHWARAJ,13702,
FIEMIND,13710,
JHS,13720,
DCBBANK,13725,
GLOBALVECT,13735,
SHYAMTEL,13740,
GTLINFRA,13745,
FLUOROCHEM,13750,
NAUKRI,13751,
MANOMAY,13753,
BBL,13761,
AARVEEDEN,13771,
GESHIP,13776,
TORNTPOWER,13786,
MANALIPETC,13796,
SUTLEJTEX,13801,
GREENPANEL,13810,
KAMOPAINTS,13814,
LTFOODS,13816,
RUCHIRA,13821,
SOBHA,13826,
DONEAR,13839,
MMFL,13844,
VENUSREM,13859,
AARTIPHARM,13868,
KUANTUM,13870,
JINDRILL,13875,
BANCOINDIA,13880,
HIRECT,13890,
CREST,13900,
PLASTIBLEN,13920,
NFL,13925,
KOTAKLIQ,13950,
PARACABLES,13951,
HBLPOWER,13966,
TANLA,13976,
JASH,13982,
ABSLBANETF,13987,
ZEEMEDIA,14003,
AVTNPL,14008,
LUMAXTECH,14014,
TIDEWATER,14019,
SARLAPOLY,14043,
SANGHVIMOV,14058,
SAGCEM,14068,
IGPL,14086,
SIYSIL,14096,
PTL,14101,
NETWORK18,14111,
GANDHITUBE,14116,
PITTIENG,14134,
SBGLP,14139,
BTML,14150,
UNOMINDA,14154,
NSLNISP,14180,
NINSYS,14194,
TIMKEN,14198,
HUBTOWN,14203,
TV18BRDCST,14208,
CTE,14218,
TIIL,14223,
HDFCBSE500,14230,
HDFCSML250,14233,
HDFCMID150,14236,
TVSSRICHAK,14245,
REDINGTON,14255,
ORIENTBELL,14278,
GOLDETF,14286,
SEQUENT,14296,
PFC,14299,
FSL,14304,
OSWALSEEDS,14305,
INDIANB,14309,
TTL,14314,
SMSPHARMA,14329,
HSCL,14334,
GANESHHOUC,14339,
ORIENTALTL,14346,
APOLLOPIPE,14361,
IDEA,14366,
POCL,14385,
RAJTV,14403,
PAGEIND,14413,
ASTRAL,14418,
LAOPALA,14423,
GOLDBEES,14428,
JKTYRE,14435,
NAHARSPING,14440,
NAHARPOLY,14445,
IBREALEST,14450,
DIVGIITTS,14479,
GOKULAGRO,14480,
THEMISMED,14485,
NCLIND,14490,
BALAMINES,14501,
BANSWRAS,14511,
ABSLLIQUID,14518,
ICRA,14523,
GOLDSHARE,14535,
DISHTV,14537,
NDLVENTURE,14547,
PHOENIXLTD,14552,
BFUTILITIE,14567,
SRHHYPOLTD,14582,
FORTIS,14592,
ALPHAGEO,14597,
GSLSU,14599,
WEBELSOLAR,14602,
SIMBHALS,14612,
CHEMBOND,14618,
HILTON,14627,
INSECTICID,14657,
KMSUGAR,14667,
NAVINFLUOR,14672,
GUJAPOLLO,14677,
GOACARBON,14687,
TIMETECHNO,14707,
HGS,14712,
DLF,14732,
AXSENSEX,14742,
ADVANIHOTR,14745,
NELCAST,14761,
TARMAT,14771,
LOWVOL,14786,
SPARC,14788,
ADSL,14813,
DECCANCE,14838,
VIPCLOTHNG,14843,
ALPA,14848,
OMAXE,14853,
KOTAKGOLD,14858,
USK,14871,
ASIANTILES,14889,
CENTRALBK,14894,
SAHYADRI,14900,
KDDL,14908,
KPRMILL,14912,
TAKE,14917,
PURVA,14922,
ISMTLTD,14932,
CIEINDIA,14937,
GSEC10YEAR,14938,
MOTILALOFS,14947,
MAGNUM,14957,
CSBBANK,14966,
KSCL,14972,
POWERGRID,14977,
MANGCHEFER,15007,
MAANALU,15017,
PSUBNKBEES,15032,
BAJAJELEC,15034,
CERA,15039,
DELTACORP,15044,
AVALON,15058,
KOTAKPSUBK,15061,
BLAL,15067,
RELIGARE,15068,
ADANIPORTS,15083,
SILVERETF,15085,
